year,month,city,state,disaster_type,severity,latitude,longitude,pop_density,elevation_m,coast_km,annual_rainfall_mm,seismic_zone,affected_population,total_deaths,data_source,risk_level,season
2000,12,Chennai,Tamil Nadu,earthquake,8,13.082,80.27,7088,6,0,1400,3,654512.0,16389.0,emdat,Critical,winter
2000,8,Surat,Gujarat,flood,10,21.17,72.831,8200,13,20,1143,3,1700000.0,26.0,emdat,Critical,monsoon
2000,7,Surat,Gujarat,flood,4,21.17,72.831,8200,13,20,1143,3,63000.0,225.0,emdat,High,monsoon
2000,5,Delhi,Delhi,earthquake,4,28.704,77.102,11320,216,1400,797,4,59350.0,3.0,emdat,Medium,summer
2000,3,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,2122.0,44.0,emdat,Medium,summer
2000,5,Kochi,Kerala,flood,4,9.931,76.267,2100,8,0,3067,3,10800.0,32.0,emdat,Medium,summer
2000,6,Kolkata,West Bengal,flood,8,22.572,88.363,24252,9,130,1582,3,520000.0,284.0,emdat,High,monsoon
2000,6,Delhi,Delhi,flood,10,28.704,77.102,11320,216,1400,797,4,10250000.0,1529.0,emdat,Critical,monsoon
2000,11,Surat,Gujarat,cyclone,4,21.17,72.831,8200,13,20,1143,3,25.0,24.0,emdat,Medium,post-monsoon
2000,3,Delhi,Delhi,heatwave,4,28.704,77.102,11320,216,1400,797,4,25000.0,733.0,emdat,High,summer
2000,5,Mumbai,Maharashtra,cyclone,4,19.076,72.877,20667,14,0,2167,3,75.0,16.0,emdat,Medium,summer
2000,10,Visakhapatnam,AP,cyclone,10,17.686,83.218,3400,45,0,1020,3,3810012.0,9.0,emdat,Critical,post-monsoon
2000,5,Kolkata,West Bengal,cyclone,10,22.572,88.363,24252,9,130,1582,3,18000000.0,90.0,emdat,Critical,summer
2000,5,Delhi,Delhi,cyclone,8,28.704,77.102,11320,216,1400,797,4,700153.0,198.0,emdat,High,summer
2000,5,Bangalore,Karnataka,cyclone,10,12.971,77.594,4381,920,340,970,2,1625000.0,19.0,emdat,Critical,summer
2000,6,Pune,Maharashtra,flood,6,18.52,73.856,5600,560,150,722,3,375000.0,1282.0,emdat,Critical,monsoon
2000,6,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,5.0,62.0,emdat,Medium,monsoon
2000,8,Hyderabad,Telangana,flood,6,17.385,78.486,18480,542,560,812,2,252016.0,179.0,emdat,High,monsoon
2000,10,Chennai,Tamil Nadu,flood,4,13.082,80.27,7088,6,0,1400,3,200.0,20.0,emdat,Medium,post-monsoon
2000,10,Bangalore,Karnataka,flood,10,12.971,77.594,4381,920,340,970,2,2000000.0,162.0,emdat,Critical,post-monsoon
2000,6,Lucknow,UP,flood,6,26.846,80.946,2400,123,1100,890,3,300000.0,130.0,emdat,High,monsoon
2000,9,Visakhapatnam,AP,cyclone,6,17.686,83.218,3400,45,0,1020,3,150300.0,114.0,emdat,High,monsoon
2000,8,Visakhapatnam,AP,flood,10,17.686,83.218,3400,45,0,1020,3,2000000.0,185.0,emdat,Critical,monsoon
2000,6,Mumbai,Maharashtra,flood,6,19.076,72.877,20667,14,0,2167,3,200000.0,127.0,emdat,High,monsoon
2000,9,Hyderabad,Telangana,flood,4,17.385,78.486,18480,542,560,812,2,20000.0,94.0,emdat,Medium,monsoon
2000,6,Kolkata,West Bengal,flood,10,22.572,88.363,24252,9,130,1582,3,7900000.0,1063.0,emdat,Critical,monsoon
2000,9,Hyderabad,Telangana,flood,10,17.385,78.486,18480,542,560,812,2,4100000.0,355.0,emdat,Critical,monsoon
2000,7,Delhi,Delhi,flood,6,28.704,77.102,11320,216,1400,797,4,400000.0,53.0,emdat,High,monsoon
2000,9,Jaipur,Rajasthan,flood,4,26.912,75.787,6900,431,800,650,2,12500.0,0.0,emdat,Low,monsoon
2000,11,Bangalore,Karnataka,cyclone,4,12.971,77.594,4381,920,340,970,2,70000.0,40.0,emdat,Medium,post-monsoon
2000,3,Hyderabad,Telangana,cyclone,4,17.385,78.486,18480,542,560,812,2,1928.0,7.0,emdat,Low,summer
2000,7,Bhopal,MP,flood,4,23.259,77.412,3400,527,700,1146,2,100000.0,184.0,emdat,High,monsoon
2000,8,Mumbai,Maharashtra,flood,4,19.076,72.877,20667,14,0,2167,3,12.0,14.0,emdat,Medium,monsoon
2000,4,Delhi,Delhi,drought,10,28.704,77.102,11320,216,1400,797,4,50000000.0,20.0,emdat,Critical,summer
2000,6,Mumbai,Maharashtra,flood,4,19.076,72.877,20667,14,0,2167,3,4.0,28.0,emdat,Medium,monsoon
2000,8,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,36.0,10.0,emdat,Low,monsoon
2000,4,Bangalore,Karnataka,cyclone,4,12.971,77.594,4381,920,340,970,2,5050.0,9.0,emdat,Low,summer
2000,7,Hyderabad,Telangana,flood,4,17.385,78.486,18480,542,560,812,2,10000.0,12.0,emdat,Medium,monsoon
2000,8,Lucknow,UP,flood,4,26.846,80.946,2400,123,1100,890,3,100000.0,42.0,emdat,Medium,monsoon
2000,8,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,15000.0,76.0,emdat,Medium,monsoon
2000,9,Kolkata,West Bengal,flood,10,22.572,88.363,24252,9,130,1582,3,7200000.0,80.0,emdat,Critical,monsoon
2000,10,Chennai,Tamil Nadu,flood,4,13.082,80.27,7088,6,0,1400,3,50000.0,29.0,emdat,Medium,post-monsoon
2000,5,Kolkata,West Bengal,cyclone,10,22.572,88.363,24252,9,130,1582,3,5100000.0,96.0,emdat,Critical,summer
2000,8,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,12725.0,196.0,emdat,High,monsoon
2000,8,Bangalore,Karnataka,flood,8,12.971,77.594,4381,920,340,970,2,700000.0,47.0,emdat,High,monsoon
2000,7,Lucknow,UP,flood,6,26.846,80.946,2400,123,1100,890,3,200000.0,19.0,emdat,High,monsoon
2000,8,Jaipur,Rajasthan,flood,4,26.912,75.787,6900,431,800,650,2,37500.0,37.0,emdat,Medium,monsoon
2000,8,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,1200.0,30.0,emdat,Medium,monsoon
2000,5,Chennai,Tamil Nadu,flood,4,13.082,80.27,7088,6,0,1400,3,200.0,8.0,emdat,Low,summer
2000,8,Pune,Maharashtra,flood,4,18.52,73.856,5600,560,150,722,3,3000.0,37.0,emdat,Medium,monsoon
2000,9,Hyderabad,Telangana,flood,4,17.385,78.486,18480,542,560,812,2,3000.0,28.0,emdat,Medium,monsoon
2000,10,Chennai,Tamil Nadu,flood,4,13.082,80.27,7088,6,0,1400,3,4000.0,21.0,emdat,Medium,post-monsoon
2000,5,Surat,Gujarat,flood,4,21.17,72.831,8200,13,20,1143,3,11728.0,15.0,emdat,Medium,summer
2000,4,Kolkata,West Bengal,cyclone,4,22.572,88.363,24252,9,130,1582,3,22050.0,18.0,emdat,Medium,summer
2000,11,Chennai,Tamil Nadu,cyclone,6,13.082,80.27,7088,6,0,1400,3,500000.0,45.0,emdat,High,post-monsoon
2000,6,Mumbai,Maharashtra,flood,4,19.076,72.877,20667,14,0,2167,3,60.0,52.0,emdat,Medium,monsoon
2000,6,Pune,Maharashtra,cyclone,4,18.52,73.856,5600,560,150,722,3,7500.0,6.0,emdat,Low,monsoon
2000,10,Visakhapatnam,AP,cyclone,6,17.686,83.218,3400,45,0,1020,3,179000.0,7.0,emdat,Medium,post-monsoon
2000,1,Surat,Gujarat,earthquake,10,21.17,72.831,8200,13,20,1143,3,6321812.0,20005.0,emdat,Critical,winter
